ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,Review
00-51,30/12/99 06:01:19,https://twitter.com/sonycuerdo/status/1280069794083901441,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-06-30 since:2020-06-24,@sonycuerdo,SONY CUERDO,"Mother,Wife, love to travel.. “Finding your GIFT is the meaning of LIFE”",Anonymous,04/20,16,2,Singapore,"In Philippines they will call you Hero if you are a wanderer of the world like Jose Rizal and you would also become a hero If you are a founder of COMMUNIST PARTY like Ninoy Aquino, thus, need to rename Airport to it’s classy original name MAnila Intl Airport (MIA). Thanks","In Philippines they will call you Hero if you are a wanderer of the world like Jose Rizal and you would also become a hero If you are a founder of COMMUNIST PARTY like Ninoy Aquino, thus, need to rename Airport to it’s classy original name MAnila Intl Airport (MIA). Thanks","Text, Reply",06/07/20 17:23,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",,,
00-52,30/12/99 06:01:45,https://twitter.com/thirteenLexa/status/1279673223974498305,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-06-30 since:2020-06-25,@thirteenLexa,ClarkesLexa,"""Yu gonsplei ste odon"" May we meet again",Anonymous,09/10,237,41,Earth,Honestly ph needs this kind of president because of hardheaded filipinos. And their brainwashed heads by yellow oligarchs. Funny how the founder of this terrorist(NPA) NINOY AQUINO called A hero for so many years. Sounds like movie right.,Honestly ph needs this kind of president because of hardheaded filipinos. And their brainwashed heads by yellow oligarchs. Funny how the founder of this terrorist(NPA) NINOY AQUINO called A hero for so many years. Sounds like movie right.,"Text, Reply",05/07/20 15:07,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]

At least 3 mainstream media outlets reported on the 274 counts of malversation filed against Aquino, Trillanes, and Drilon in October 2018. 
[https://www.rappler.com/newsbreak/fact-check/media-did-not-report-malversation-raps-vs-aquino/]

Although some books do emphasize the narrative surrounding Ninoy Aquino and his family during the Martial Law period and post-EDSA, much of the literature cited also sheds light on the atrocities of the Marcos dictatorship, the majority of which were unseen and/or repressed during the height of Martial Law in the country. One of the books included, Robles’ Marcos Martial Law: Never Again (2016), contains official records, reports, eyewitness accounts, and interviews with survivors and military officers that give credence to the regime’s abuses.
[https://www.tsek.ph/fact-check-books-on-martial-law-are-biased-against-the-marcoses-promoting-ninoy-aquino-as-hero/]",,,
00-53,30/12/99 06:02:03,https://twitter.com/ronald4eternity/status/1279650187649179648,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-06-30 since:2020-06-26,@ronald4eternity,Ronsor 🇵🇭 ❤💚,,Anonymous,02/12,331,176,,Ninoy is a hero of CPP NPA and yellowtards. But not the sensible Filipinos.,Ninoy is a hero of CPP NPA and yellowtards. But not the sensible Filipinos.,"Text, Reply",05/06/20 13:35,,Emotional,11,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]","Blank Location
Blank Bio",,
00-54,30/12/99 06:02:26,https://twitter.com/rom40800032/status/1283555797146890241,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysian OR miranda OR bomb) until:2020-06-30 since:2020-06-27,@rom40800032,rom,,Anonymous,09/18,47,0,,founder ng npa si ninoy,NPA's founder of Ninoy,"Text, Reply",16/07/20 08:15,,Rational,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]","Blank Location
Blank Bio",,
00-55,30/12/99 06:03:09,https://twitter.com/iskonglasalista/status/1296641976654209025,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2020-08-30 since:2020-08-01,@iskonglasalista,Benedict Exconde,Agricultural Economist. University Lecturer. Communicator. Commentator. Dog parent to Jingle.,Identified,04/09,2568,6096,Singapore,"An expected reaction from, like Ninoy Aquino, a Communist.

#NinoyIsNotAHero #NinoyIsATraitor","An expected reaction from, like Ninoy Aquino, a Communist.

#NinoyIsNotAHero #NinoyIsATraitor","Text, Reply",21/08/20 10:55,,Rational,19,0,12,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",,,
00-56,30/12/99 06:03:56,https://twitter.com/PinasAngInaNyo/status/1296457289587712004,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2020-08-30 since:2020-08-02,@PinasAngInaNyo,Pinas Ang Ina Nyo,P.A.I.N.,Anonymous,11/18,716,785,Cesspool,"Ninoy is a mad bomber, a communist sympathizer and a CIA agent","Ninoy is a mad bomber, a communist sympathizer and a CIA agent","Text, Image",20/08/20,,Rational,12,0,4,2,,,"Aquino was not present at the event as he was allegedly at a birthday party with Sen. Doy Laurel and his family in a nearby restaurant. But there’s no concrete evidence proving that his absence meant he was among those who planned the violent attack.
Until now, without any substantial basis, claims that Aquino was one of the plotters are merely unfounded rumors and not a historical fact. He was never linked to any concrete evidence or definite report or tagged by a witness.
[https://factsfirstph-partners.rappler.com/4127/fact-check-jay-sonza-claims-ninoy-aquino-mastermind-plaza-miranda-bombing/]

Aquino, in a televised interview while in prison in March 1978, denied being a CIA agent. He, however, admitted that he had sometimes exchanged information with the agency and once carried out a secret mission to Indonesia during a “CIA-backed rebellion” there in 1958, as reported by the New York Times. Aquino justified it as part of his duties as a former government official.
While Sison recognized that Aquino was “not known to be hostile to the NPA,” he said there was “no formal alliance” between them. 
[https://verafiles.org/articles/vera-files-fact-check-enrile-asserts-unproven-claim-about-ni]",,,
00-57,30/12/99 06:04:23,https://twitter.com/marredroyalty/status/1296523948708962304,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2020-08-30 since:2020-08-03,@marredroyalty,Marjhon Havana,"Filipino Scientists, Filipino Inventors

(rare)",Anonymous,06/18,2475,2171,,"#NinoyIsNotAHero

Ninoy was many times a traitor, NEVER a hero. 
Ninoy founded Communist NPA
He bombed Plaza Miranda
He was a snitch to Malaysia on Marcos' efforts to recover Sabah
He had links with CIA 
He died a Malaysian not Filipino.","#NinoyIsNotAHero

Ninoy was many times a traitor, NEVER a hero. 
Ninoy founded Communist NPA
He bombed Plaza Miranda
He was a snitch to Malaysia on Marcos' efforts to recover Sabah
He had links with CIA 
He died a Malaysian not Filipino.","Text, Image",21/08/20 03:06,,Rational,11,0,10,0,,,"The founder of the CPP-NPA is Jose Maria Sison, while the founder of the MNLF is Nur Misuari. There is no proof that Aquino helped organize either organization.
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]

The charges against Aquino for which he was convicted in 1977 were for illegal possession of firearms, murder, and violations of the Anti-Subversion Act. Treason was not included.
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-found-guilty-treason/]


Upon his arrival in the Philippines on Aug. 21, 1983, former senator Benigno “Ninoy” Aquino Jr. was carrying Philippine-issued travel documents, not Malaysian.
There is no evidence showing that Aquino applied for a Malaysian passport.
[https://verafiles.org/articles/vera-files-fact-check-ninoy-aquino-did-not-die-a-malaysian-citizen]

Despite the truth about Marcos Sr.’s attempt in reclaiming Sabah from Malaysia during the 1960s, no official documents or records show that will prove the failure in attempt is due to Aquino’s collusion with Malaysia.
[https://news.abs-cbn.com/spotlight/05/18/22/umanoy-sabwatan-para-di-mabawi-ang-sabah-walang-basehan]",Blank Location,,
00-58,30/12/99 06:04:47,https://twitter.com/yellowzingers1/status/1296760574743908352,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2020-08-30 since:2020-08-04,@yellowzingers1,yellowzingers,Dislikes self appointed saviors and Self absorbed excuse of a human being that pretends to be a savior of the people again. Centered until gets uncentered by u.,Anonymous,05/20,459,63,,Ninoy Aquino the very reason why Leftist and Communist flourished and keeps fighting the govt. Many are glad now that your true color iS out. You are a Traitor Ninoy Aquino. You are not a Hero. May you rot in hell.The Philippines stagnant becoz of u and ur wife and son am&friends,Ninoy Aquino the very reason why Leftist and Communist flourished and keeps fighting the govt. Many are glad now that your true color iS out. You are a Traitor Ninoy Aquino. You are not a Hero. May you rot in hell.The Philippines stagnant becoz of u and ur wife and son am&friends,"Text, Quote Tweet, Video",21/08/20 18:46,,Emotional,3,0,0,0,,,"The charges against Aquino for which he was convicted in 1977 were for illegal possession of firearms, murder, and violations of the Anti-Subversion Act. Treason was not included.
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-found-guilty-treason/]

Ninoy Aquino did say in his old speeches that the CPP should be legalized, but only if the political party abandons its goal of violently overthrowing the government.
[https://verafiles.org/articles/vera-files-fact-check-video-on-ninoy-aquino-supporting-cpps-legalization-needs-context]


In 2012, the Philippines recorded one of its strongest years for growth, surpassing all expectations; the first quarter GDP of 2013, recorded at 7.8%, further raised the bar among the community of nations and exceeding even our growth trend. Lead credit ratings agencies have placed the Philippines at the investment grade level, even as they predict continued favorable economic prospects for our future. 
[https://www.officialgazette.gov.ph/aquino-administration/]
",Blank Location,,
00-59,31/12/99 06:04:47,https://twitter.com/jaby111219/status/1473820341575192579,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy communist until:2022-01-01 since:2020-01-01,@jaby111219,Jaby111219,,Anonymous,11/21,25,8,,weee?sabi ng lolo ko tinanong ko f talagang masama ba ang martial law at ang mga marcos.bglang nagalit sya.sabi maganda nagawa ni marcos at mabuti nga dw nag martial law noon kaya d tau nasakop ng mga NPA..c ninoy dw at joma ung mga komunista,weee? my grandfather said I asked f really bad martial law and the marcos.bglang he was angry. joma ung communists,"Text, Reply",23/12/21 08:58,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]

Another false post that dignified Martial Law said that nobody was poor during Martial Law and the “real poverty” happened during the terms of the two Aquinos.
[https://www.rappler.com/newsbreak/fact-check/252652-lies-about-edsa-revolution-martial-law/]","Blank Bio
Blank Location",,
00-60,01/01/00 06:04:47,https://twitter.com/WinwinEklabu/status/1473644213015171072,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy communist until:2022-01-01 since:2020-01-02,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6462,7082,"Metro Manila, Philippines","There you go again, if we don't agree with you, you will call us stupid, that's bad. You who believe in Ninoy as a hero, did we tell you that you are stupid? Can the communist Ninoy be called a hero? Who is stupid now?","There you go again, if we don't agree with you, you will call us stupid, that's bad. You who believe in Ninoy as a hero, did we tell you that you are stupid? Can the communist Ninoy be called a hero? Who is stupid now?","Text, Reply",22/12/21 21:18,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",,,
00-61,02/01/00 06:04:47,https://twitter.com/Martina40290987/status/1471048350288211970,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy communist until:2022-01-01 since:2020-01-03,@Martina40290987,Martina,,Anonymous,05/23,18,2,,"Isang sundalo si Marcos kaya considered n hero.. Si Ninoy na isang communist at NPA nbaril lng bkit din tinawag na Hero? Si Cory daw n tinwag n Saint bkit bininta lng nya ang Meralco, Nawasa, Phil Airline atbp. Saint na?","Marcos is a soldier so he is considered a hero .. Ninoy who is a communist and NPA nbaril lng bkit also called a hero? Cory seems to have been tinwag n saint bkit he painted meralco, lost, phil airline etc. Saint na?","Text, Reply",15/12/21 17:23,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party.
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]


On Cory Aquino ‘selling’ the Philippine Airlines
> This needs context. Philippine Airlines (PAL) was privatized in March 1992, towards the end of Aquino’s term as president, although plans to sell the company were made years earlier. 
[https://verafiles.org/articles/vera-files-fact-check-graphic-makes-false-unproven-claims-vs]","Blank Bio
Blank Location",,
00-62,03/01/00 06:04:47,https://twitter.com/rhan_duke/status/801944462624591872,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@rhan_duke,rhan duke,This love gem was inside me all the time. It is mine to keep forever.,Identified,06/11,470,52,Sg,Ninoy founded the Communist Party of the Philippines. http://fb.me/8m3jUVHsE,Ninoy founded the Communist Party of the Philippines. http://fb.me/8m3jUVHsE,"Text, URL",25/11/16 08:23,,Rational,0,0,0,0,,,"The founder of the CPP-NPA is Jose Maria Sison, while the founder of the MNLF is Nur Misuari. There is no proof that Aquino helped organize either organization.
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",Broken link to URL (Facebook post of Duke Rhan),,
00-63,04/01/00 06:04:47,https://twitter.com/KenesuMiko/status/771382112385572864,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@KenesuMiko,Kenesu Miko,,Anonymous,08/10,10,5,,"Sila Victor Corpus at Joma Sison and NINOY ang may pakana ng PLAZA MIRANDA BOMBING..
Para isisi kay MARCOS at... fb.me/4rvzfbJRU","Victor Corpus and Joma Sison and Ninoy are the cause of Plaza Miranda bombing ..
This is to blame to Marcos and ... FB.ME/4RVZFBJRU","Text, URL",09/02/16 12:20,,Emotional,0,0,0,0,,,"Aquino was not present at the event as he was allegedly at a birthday party with Sen. Doy Laurel and his family in a nearby restaurant. But there’s no concrete evidence proving that his absence meant he was among those who planned the violent attack. Until now, without any substantial basis, claims that Aquino was one of the plotters are merely unfounded rumors and not a historical fact. He was never linked to any concrete evidence or definite report or tagged by a witness. 
[https://factsfirstph-partners.rappler.com/4127/fact-check-jay-sonza-claims-ninoy-aquino-mastermind-plaza-miranda-bombing/]","Broken link to URL (Facebook poster deleted/deactivated)
Blank Bio
Blank Location",,
00-64,05/01/00 06:04:47,https://twitter.com/ementriboychoi/status/770958064266645504,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@ementriboychoi,Anya Tadiwan,"I loved you at your darkest.
-Romans",Identified,04/15,43,85,Tarlac,I'm not sure with this but Cojuangco actually killed Ninoy. Ninoy was the leader of NPA  Marcos warned him. The... http://fb.me/7FKkCriSy,I'm not sure with this but Cojuangco actually killed Ninoy. Ninoy was the leader of NPA  Marcos warned him. The... http://fb.me/7FKkCriSy,"Text, URL",31/08/16 20:15,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",External link shows full message posted in Facebook,,
00-65,06/01/00 06:04:47,https://twitter.com/iammarkgarcia_/status/767227506378346497,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@iammarkgarcia_,Mark Garcia,Website Developer | IT Consultant ♊️,Identified,09/09,1167,5759,Republic of the Philippines,"Pwe! Ninoy Aquino is not a HERO! He's just an ex-senator. He died for his ambition, he was a COMMUNIST... http://fb.me/1sNNl6822","Pwe! Ninoy Aquino is not a HERO! He's just an ex-senator. He died for his ambition, he was a COMMUNIST... http://fb.me/1sNNl6822","Text, URL",21/08/16 13:11,,Emotional,7,0,3,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",Broken link to URL (Facebook post of Mark Garcia that is deleted/deactivated),,
00-66,07/01/00 06:04:47,https://twitter.com/jbrsamonte/status/767199278204944384,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@jbrsamonte,JB,Tech guy 👾👾,Identified,09/09,132,304,"Vancouver, Canada","Really don't get it why we are celebrating Ninoy Aquino Day? Technically he was part of the communist party, shot by who ever shot him","Really don't get it why we are celebrating Ninoy Aquino Day? Technically he was part of the communist party, shot by who ever shot him",Text,21/08/16 11:18,,Emotional,0,0,1,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",,,
00-67,08/01/00 06:04:47,https://twitter.com/ace_on_airrr/status/767195463262965760,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@ace_on_airrr,acelarz,"If there's a moment when it's perfect, we’ll carve our names as the sun goes down. | 🇮🇹👨🏾‍✈️✈️ 🏍 🎧",Identified,04/10,187,212,,Ninoy Aquino was a COMMUNIST. He died due to his selfish ambition. Deal with that.,Ninoy Aquino was a COMMUNIST. He died due to his selfish ambition. Deal with that.,Text,21/08/16 11:03,,Emotional,11,1,4,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",Blank Location,,
00-68,09/01/00 06:04:47,https://twitter.com/thebossEFRAIM/status/765186964857335808,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@thebossEFRAIM,Efraim Melgo Rafols,"Tall, dark but nevermind

Funny but Serious.",Identified,06/14,271,31,,"Si Ninoy Aquino ang dahilan kung bakit may Martial Law PERIOD
Si Ninoy may pakana ng CPP NPA at mga Liberation Fronts.","Ninoy Aquino is the reason why there was martial law PERIOD
Ninoy is the reason for CPP NPA and Liberation Fronts existence.",Text,15/08/16 22:02,,Rational,0,0,0,0,,,"Former senator Benigno “Ninoy” Aquino Jr. was not the reason the late strongman Ferdinand Marcos declared martial law. Marcos’ Proclamation 1081, signed Sept. 21, 1972, placed the Philippines under martial law, citing “rebellion and lawlessness in the country” due to the operations of the “radical left,” that is, the Communist Party of the Philippines and its armed wing, the New People’s Army.
[https://verafiles.org/articles/vera-files-fact-check-report-claiming-ninoy-aquino-reason-ma]",Blank Location,,
00-69,10/01/00 06:04:47,https://twitter.com/iam_joshua_bc17/status/744473845457838080,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@iam_joshua_bc17,Joshua Cariño,"Software Engineer, computer geek,♥s K-Pop&Country Music. :D ^^. Fav. artists, #TWICE #AOA #SNSD #TARA #EXO #BIGBANG #Blackpink #BlakeShelton",Identified,08/11,2099,2338,"Imus, Calabarzon",AFAIK Ninoy had been a traitor for this country and even teamed up with thw communist to overthrow the current... http://fb.me/880TtANaG,AFAIK Ninoy had been a traitor for this country and even teamed up with thw communist to overthrow the current... http://fb.me/880TtANaG,"Text, URL",19/06/16 18:16,,Emotional,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]

The charges against Aquino for which he was convicted in 1977 were for illegal possession of firearms, murder, and violations of the Anti-Subversion Act. Treason was not included. [https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-found-guilty-treason/]",Broken link to URL,,
00-70,11/01/00 06:04:47,https://twitter.com/saylothe/status/735703202775990272,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@saylothe,T Z シ,Forever Thamara and Zach. #ThamZach 🥀,Anonymous,01/11,30,1256,Philippines,Wala namang Martial Law if it weren't for Ninoy Aquino. A traitor and a communist! #WEVOTEDBBM,There would be no Martial Law if it weren't for Ninoy Aquino. A traitor and a communist! #WEVOTEDBBM,Text,26/05/16 13:24,,Emotional,3,0,0,0,,,"Former senator Benigno “Ninoy” Aquino Jr. was not the reason the late strongman Ferdinand Marcos declared martial law. Marcos’ Proclamation 1081, signed Sept. 21, 1972, placed the Philippines under martial law, citing “rebellion and lawlessness in the country” due to the operations of the “radical left,” that is, the Communist Party of the Philippines and its armed wing, the New People’s Army.
[https://verafiles.org/articles/vera-files-fact-check-report-claiming-ninoy-aquino-reason-ma]

The charges against Aquino for which he was convicted in 1977 were for illegal possession of firearms, murder, and violations of the Anti-Subversion Act. Treason was not included. 
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-found-guilty-treason/]

CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",,,
00-71,12/01/00 06:04:47,https://twitter.com/dreamy_eyes0/status/731589908968574976,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@dreamy_eyes0,Kalene,i hate people,Anonymous,09/10,1269,123,Philippines,"1968 Ninoy organized mnlf & npa in collab w malaysia. 1972 congress approved martial law. 1972 ninoy, sison wr arrested. 1977 ninoy convictd","1968 Ninoy organized mnlf & npa in collab w malaysia. 1972 congress approved martial law. 1972 ninoy, sison wr arrested. 1977 ninoy convictd",Text,15/05/16 05:00,,Rational,0,0,0,0,,,"News Galore wrongly linked Ninoy once again to the CPP-NPA in another claim, saying he talked to Malaysia to ask support for the rebels. According to former Foreign Affairs national territory division chief Hermes Dorado, the meeting had actually been for a Marcos ouster. 
[https://verafiles.org/articles/vera-files-fact-check-online-post-rewrites-and-distorts-aqui]

While Ninoy Aquino was not openly hostile to the CPP, there was no evidence to support the claim that he helped organize the CPP-NPA or the MNLF.
[https://www.rappler.com/newsbreak/fact-check/ninoy-aquino-organizer-cpp-npa-mnlf/]",,,
00-72,13/01/00 06:04:47,https://twitter.com/AldreanNavarro/status/729985005946961920,,"Canlas, Sofia Anne",AQNO,"Ninoy being linked to communist, NPA, Plaza Miranda bombing, and having a Malaysian citizenship",ninoy (npa OR communist OR malaysia OR miranda OR bomb) until:2016-12-31 since:2016-01-01,@AldreanNavarro,drean,,Anonymous,07/14,317,539,Birmingham,"Si ninoy ay commander daty ng NPA. Codename: Commander ""Dante""","Ninoy was a commander of the NPA. Codename: Commander ""Dante""",Text,05/10/16 18:42,,Rational,0,0,0,0,,,"CPP founding chairperson Jose Maria ""Joma"" Sison himself has denied the claim, saying categorically that ""Ninoy Aquino could not have been a communist or founder of the [CPP]."" He further said there was ""no formal alliance"" between Aquino and the party. 
[https://verafiles.org/articles/vera-files-fact-check-afp-amplifies-false-unfounded-claims-n]",Blank Bio,,
